,StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
57837,AS001,2019-02-16 23:00:00,124.77,187.08,,,,,,,,,,,107.0,Satisfactory
57838,AS001,2019-02-17 00:00:00,50.0,78.0,6.29,13.46,24.75,34.44,1.05,14.6,14.98,2.61,,,107.0,Satisfactory
57839,AS001,2019-02-17 01:00:00,16.11,28.29,4.08,8.11,15.31,35.24,0.43,14.13,24.7,1.16,,,107.0,Satisfactory
57840,AS001,2019-02-17 02:00:00,21.13,41.46,3.82,6.18,12.92,33.87,0.39,14.12,28.2,0.77,,,107.0,Satisfactory
57841,AS001,2019-02-17 03:00:00,27.92,52.88,3.43,7.33,13.5,34.37,0.37,14.1,26.49,0.79,,,107.0,Satisfactory
57842,AS001,2019-02-17 04:00:00,23.94,46.96,3.27,6.42,12.24,32.35,0.28,14.37,26.1,0.59,,,107.0,Satisfactory
57843,AS001,2019-02-17 05:00:00,21.0,45.12,3.85,6.48,13.26,30.47,0.31,14.47,22.05,0.6,,,107.0,Satisfactory
57844,AS001,2019-02-17 06:00:00,21.54,56.53,5.41,8.46,17.95,30.54,0.36,14.46,17.56,0.65,,,107.0,Satisfactory
57845,AS001,2019-02-17 07:00:00,35.12,73.66,14.1,12.61,36.37,30.22,0.56,15.02,11.7,1.06,,,107.0,Satisfactory
57846,AS001,2019-02-17 08:00:00,62.92,114.73,13.72,10.25,33.42,31.46,0.56,14.91,21.65,1.81,,,107.0,Satisfactory
57847,AS001,2019-02-17 09:00:00,58.62,100.29,9.54,10.88,27.25,31.81,0.47,14.67,19.23,1.38,,,107.0,Satisfactory
57848,AS001,2019-02-17 10:00:00,40.83,65.52,4.1,10.91,18.41,31.61,0.45,14.0,15.44,1.39,,,107.0,Satisfactory
57849,AS001,2019-02-17 11:00:00,32.09,52.09,2.06,8.72,12.77,29.86,0.42,13.8,13.91,1.17,,,107.0,Satisfactory
57850,AS001,2019-02-17 12:00:00,36.14,55.42,1.82,7.67,11.16,27.76,0.4,13.72,14.88,0.97,,,107.0,Satisfactory
57851,AS001,2019-02-17 13:00:00,43.09,78.57,2.03,7.87,11.75,24.49,0.42,13.84,14.03,0.92,,,107.0,Satisfactory
57852,AS001,2019-02-17 14:00:00,47.75,78.53,1.69,8.25,11.65,23.74,0.42,13.6,15.58,0.94,,,72.0,Satisfactory
57853,AS001,2019-02-17 15:00:00,42.16,77.52,1.53,7.96,11.05,24.23,0.41,13.5,15.26,0.79,,,73.0,Satisfactory
57854,AS001,2019-02-17 16:00:00,45.91,79.98,1.56,8.62,11.8,27.53,0.41,13.68,15.32,0.73,,,73.0,Satisfactory
57855,AS001,2019-02-17 17:00:00,41.58,81.77,1.79,8.54,12.12,26.3,0.42,13.73,15.22,0.71,,,73.0,Satisfactory
57856,AS001,2019-02-17 18:00:00,69.98,284.36,1.9,13.62,17.75,25.8,0.51,13.55,14.14,0.85,,,84.0,Satisfactory
57857,AS001,2019-02-17 19:00:00,115.75,521.52,2.15,13.79,18.34,26.83,0.58,13.56,15.61,1.08,,,103.0,Moderate
57858,AS001,2019-02-17 20:00:00,102.77,211.09,2.03,10.49,14.58,26.07,0.6,13.55,14.19,1.29,,,106.0,Moderate
57859,AS001,2019-02-17 21:00:00,92.92,266.06,2.45,9.46,14.15,27.56,0.6,13.69,14.49,1.24,,,111.0,Moderate
57860,AS001,2019-02-17 22:00:00,88.71,206.02,2.1,9.41,13.5,27.89,0.61,13.88,13.49,1.21,,,113.0,Moderate
57861,AS001,2019-02-17 23:00:00,81.66,135.92,2.04,7.65,11.54,27.31,0.6,13.89,19.8,1.08,,,112.0,Moderate
57862,AS001,2019-02-18 00:00:00,73.0,104.0,1.75,7.0,10.28,27.13,0.58,13.8,16.56,0.99,,,113.0,Moderate
57863,AS001,2019-02-18 01:00:00,58.04,81.06,1.82,6.4,9.76,27.16,0.49,13.77,15.55,0.94,,,114.0,Moderate
57864,AS001,2019-02-18 02:00:00,60.0,82.39,1.91,6.08,9.7,26.46,0.44,13.64,18.36,0.84,,,115.0,Moderate
57865,AS001,2019-02-18 03:00:00,55.5,73.42,2.22,6.71,10.86,27.06,0.44,13.64,34.54,0.77,,,116.0,Moderate
57866,AS001,2019-02-18 04:00:00,66.56,96.04,2.79,7.0,12.1,26.34,0.45,13.72,31.85,0.82,,,117.0,Moderate
57867,AS001,2019-02-18 05:00:00,67.08,97.21,3.29,9.45,15.53,25.16,0.47,13.8,24.07,0.74,,,119.0,Moderate
57868,AS001,2019-02-18 06:00:00,71.25,102.73,4.57,15.17,23.77,24.37,0.5,14.12,22.03,0.8,,,120.0,Moderate
57869,AS001,2019-02-18 07:00:00,83.58,107.31,23.18,23.42,63.13,24.59,0.64,14.68,15.09,1.81,,,121.0,Moderate
57870,AS001,2019-02-18 08:00:00,95.88,138.21,4.97,10.55,19.52,24.16,0.45,14.4,35.9,1.03,,,122.0,Moderate
57871,AS001,2019-02-18 09:00:00,47.27,77.27,2.92,9.18,14.71,24.67,0.45,14.85,34.63,0.7,,,121.0,Moderate
57872,AS001,2019-02-18 10:00:00,61.29,90.0,2.23,8.93,13.23,25.2,0.49,14.42,19.65,0.86,,,122.0,Moderate
57873,AS001,2019-02-18 11:00:00,76.19,127.46,2.16,10.48,14.75,23.74,0.52,14.07,17.1,0.93,,,126.0,Moderate
57874,AS001,2019-02-18 12:00:00,84.48,125.04,2.65,10.46,15.63,20.67,0.46,14.16,36.76,0.9,,,132.0,Moderate
57875,AS001,2019-02-18 13:00:00,57.98,99.83,1.43,8.02,10.96,22.8,0.42,15.21,52.73,0.79,,,134.0,Moderate
57876,AS001,2019-02-18 14:00:00,56.88,87.28,3.91,18.45,26.17,22.3,0.41,15.37,53.87,0.76,,,136.0,Moderate
57877,AS001,2019-02-18 15:00:00,53.88,80.23,2.15,13.92,18.6,21.74,0.44,15.46,54.13,0.71,,,137.0,Moderate
57878,AS001,2019-02-18 16:00:00,51.0,74.08,3.67,14.29,21.31,22.21,0.45,15.66,58.96,0.75,,,138.0,Moderate
57879,AS001,2019-02-18 17:00:00,42.92,73.67,1.89,11.58,15.5,22.31,0.45,14.9,56.55,0.83,,,138.0,Moderate
57880,AS001,2019-02-18 18:00:00,39.07,56.12,2.96,16.35,22.33,23.64,0.53,14.72,42.17,0.92,,,134.0,Moderate
57881,AS001,2019-02-18 19:00:00,41.28,60.12,3.17,13.34,19.54,22.28,0.56,14.99,39.32,1.03,,,123.0,Moderate
57882,AS001,2019-02-18 20:00:00,49.05,65.45,4.25,11.02,18.73,22.49,0.6,14.88,29.59,1.23,,,116.0,Moderate
57883,AS001,2019-02-18 21:00:00,50.58,71.44,4.0,9.04,16.21,21.13,0.43,14.44,32.49,0.88,,,110.0,Moderate
57884,AS001,2019-02-18 22:00:00,29.0,42.02,2.2,6.96,11.06,19.43,0.37,14.4,36.1,0.58,,,102.0,Moderate
57885,AS001,2019-02-18 23:00:00,27.73,36.98,2.06,5.96,9.75,19.29,0.34,14.28,34.46,0.5,,,97.0,Satisfactory
57886,AS001,2019-02-19 00:00:00,21.0,29.0,3.82,9.58,16.37,18.74,0.31,14.2,37.14,0.52,,,94.0,Satisfactory
57887,AS001,2019-02-19 01:00:00,22.98,31.11,2.46,5.97,10.46,19.2,0.3,14.12,37.13,0.46,,,91.0,Satisfactory
57888,AS001,2019-02-19 02:00:00,22.06,35.92,3.02,5.5,10.83,19.91,0.3,13.86,35.59,0.49,,,89.0,Satisfactory
57889,AS001,2019-02-19 03:00:00,25.08,31.56,2.2,5.28,9.22,20.01,0.29,13.81,32.95,0.45,,,86.0,Satisfactory
57890,AS001,2019-02-19 04:00:00,29.08,42.89,2.37,4.71,8.98,20.13,0.29,13.96,33.67,0.47,,,84.0,Satisfactory
57891,AS001,2019-02-19 05:00:00,33.0,37.27,2.33,5.09,9.26,18.54,0.29,13.84,33.29,0.41,,,81.0,Satisfactory
57892,AS001,2019-02-19 06:00:00,29.18,35.64,2.06,5.39,9.2,17.63,0.32,14.11,31.88,0.43,,,79.0,Satisfactory
57893,AS001,2019-02-19 07:00:00,34.0,42.62,5.05,7.59,16.36,17.73,0.38,14.18,31.66,0.68,,,75.0,Satisfactory
57894,AS001,2019-02-19 08:00:00,48.08,54.34,4.2,9.41,16.95,17.62,0.42,14.34,36.51,0.8,,,72.0,Satisfactory
57895,AS001,2019-02-19 09:00:00,50.38,62.14,3.83,9.23,16.17,17.68,0.46,14.44,34.33,0.9,,,72.0,Satisfactory
57896,AS001,2019-02-19 10:00:00,59.12,74.38,4.96,10.43,19.4,19.34,0.52,15.43,34.03,1.05,,,72.0,Satisfactory
57897,AS001,2019-02-19 11:00:00,64.83,89.98,3.59,8.28,14.79,18.67,0.47,16.5,34.64,1.04,,,71.0,Satisfactory
57898,AS001,2019-02-19 12:00:00,56.31,75.96,2.37,9.93,14.53,17.48,0.46,17.31,39.16,0.97,,,69.0,Satisfactory
57899,AS001,2019-02-19 13:00:00,64.05,79.3,1.74,9.42,13.01,16.7,0.46,16.17,44.67,0.91,,,69.0,Satisfactory
57900,AS001,2019-02-19 14:00:00,66.11,88.8,1.46,7.71,10.63,16.9,0.42,18.52,64.47,0.84,,,70.0,Satisfactory
57901,AS001,2019-02-19 15:00:00,68.97,83.17,1.62,9.67,12.95,17.64,0.44,20.95,74.9,0.83,,,75.0,Satisfactory
57902,AS001,2019-02-19 16:00:00,67.93,89.09,1.58,12.15,15.66,17.09,0.46,22.83,71.47,0.9,,,75.0,Satisfactory
