,StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
133870,CH001,2019-09-02 10:00:00,8.06,102.43,12.46,5.19,,1.34,0.57,4.28,26.41,3.51,0.71,6.09,95.0,Satisfactory
133871,CH001,2019-09-02 11:00:00,6.79,92.5,9.81,6.27,17.02,0.88,0.48,6.08,33.65,4.27,0.65,5.66,95.0,Satisfactory
133872,CH001,2019-09-02 12:00:00,3.52,82.72,8.03,5.63,14.01,0.73,0.39,6.6,47.6,3.13,0.36,3.06,95.0,Satisfactory
133873,CH001,2019-09-02 13:00:00,3.04,79.3,7.45,4.55,12.21,0.75,0.34,7.27,55.97,,,,95.0,Satisfactory
133874,CH001,2019-09-02 14:00:00,5.17,80.34,7.65,4.24,11.86,0.71,0.45,8.31,54.32,,,,95.0,Satisfactory
133875,CH001,2019-09-02 15:00:00,4.05,76.19,7.82,3.5,11.45,0.67,0.48,10.27,55.41,,,,95.0,Satisfactory
133876,CH001,2019-09-02 16:00:00,3.18,76.01,7.92,3.56,11.37,0.78,0.49,11.91,55.03,,,,95.0,Satisfactory
133877,CH001,2019-09-02 17:00:00,2.82,76.7,7.51,3.94,11.6,0.65,0.46,11.33,54.77,5.61,,4.4,95.0,Satisfactory
133878,CH001,2019-09-02 18:00:00,12.36,76.31,7.21,3.49,10.61,0.69,0.46,12.26,53.02,3.09,0.29,5.08,95.0,Satisfactory
133879,CH001,2019-09-02 19:00:00,44.65,72.62,7.15,3.58,10.81,0.66,0.51,12.12,54.03,2.59,0.34,3.3,95.0,Satisfactory
133880,CH001,2019-09-02 20:00:00,33.78,79.52,7.23,4.04,11.18,0.61,0.69,12.8,47.2,2.7,0.25,3.16,95.0,Satisfactory
133881,CH001,2019-09-02 21:00:00,24.39,89.98,7.67,3.92,11.46,0.83,0.77,13.09,42.5,2.9,0.18,3.37,95.0,Satisfactory
133882,CH001,2019-09-02 22:00:00,18.84,115.94,8.12,3.86,11.99,0.78,0.89,13.16,33.59,3.04,0.13,3.55,95.0,Satisfactory
133883,CH001,2019-09-02 23:00:00,20.03,122.99,8.09,4.2,12.4,0.77,0.76,12.18,28.47,3.36,0.09,3.81,95.0,Satisfactory
133884,CH001,2019-09-03 00:00:00,29.68,113.91,7.72,4.23,11.85,0.7,0.7,12.0,21.38,3.13,0.06,3.75,95.0,Satisfactory
133885,CH001,2019-09-03 01:00:00,32.49,113.21,7.96,4.24,12.22,0.55,0.65,7.27,16.2,3.13,0.04,3.81,91.0,Satisfactory
133886,CH001,2019-09-03 02:00:00,27.1,106.08,8.59,3.76,12.45,0.82,0.55,5.53,15.57,3.11,0.04,3.9,92.0,Satisfactory
133887,CH001,2019-09-03 03:00:00,24.81,94.44,8.93,3.16,11.93,1.15,0.54,6.18,14.8,2.97,0.03,3.96,92.0,Satisfactory
133888,CH001,2019-09-03 04:00:00,24.16,91.0,9.12,2.88,12.06,0.76,0.54,5.74,10.99,2.87,0.03,4.04,92.0,Satisfactory
133889,CH001,2019-09-03 05:00:00,23.36,85.71,8.73,3.0,11.78,0.82,0.5,5.5,12.73,2.77,0.02,4.06,91.0,Satisfactory
133890,CH001,2019-09-03 06:00:00,31.12,79.83,9.12,2.69,11.67,0.78,0.59,5.01,2.77,2.68,0.01,4.01,91.0,Satisfactory
133891,CH001,2019-09-03 07:00:00,36.13,77.92,10.52,3.43,13.53,0.81,0.93,4.61,0.31,2.83,0.01,4.09,90.0,Satisfactory
133892,CH001,2019-09-03 08:00:00,35.16,72.34,13.76,5.07,18.18,1.02,0.95,4.28,1.2,3.16,0.01,4.3,89.0,Satisfactory
133893,CH001,2019-09-03 09:00:00,31.2,85.23,13.84,5.59,19.65,1.18,0.84,5.04,9.59,3.35,0.01,4.52,89.0,Satisfactory
133894,CH001,2019-09-03 10:00:00,27.18,99.47,11.3,6.42,17.98,1.01,0.78,4.41,37.46,3.81,0.01,4.74,89.0,Satisfactory
133895,CH001,2019-09-03 11:00:00,29.77,98.13,8.36,6.63,15.35,0.79,0.65,5.38,67.4,3.87,0.03,4.62,89.0,Satisfactory
133896,CH001,2019-09-03 12:00:00,28.9,101.75,7.21,6.27,13.67,0.82,0.57,5.5,71.67,3.45,0.04,4.18,90.0,Satisfactory
133897,CH001,2019-09-03 13:00:00,26.84,103.1,7.23,5.52,10.01,0.68,0.53,88.87,64.61,2.84,0.03,2.88,91.0,Satisfactory
133898,CH001,2019-09-03 14:00:00,20.66,97.38,7.35,4.93,12.82,0.59,0.5,4.28,63.09,3.83,0.04,2.74,92.0,Satisfactory
133899,CH001,2019-09-03 15:00:00,19.84,98.16,7.12,3.46,10.7,0.63,0.47,5.08,55.73,4.52,0.04,3.49,93.0,Satisfactory
133900,CH001,2019-09-03 16:00:00,20.68,95.64,7.16,3.34,10.44,0.69,0.43,5.5,56.02,3.85,0.05,3.38,94.0,Satisfactory
133901,CH001,2019-09-03 17:00:00,21.15,90.83,7.39,3.51,10.94,0.75,0.52,6.03,52.86,3.06,0.07,3.25,94.0,Satisfactory
133902,CH001,2019-09-03 18:00:00,20.77,88.5,7.76,3.3,11.04,0.6,0.54,7.34,58.2,2.67,0.08,3.19,95.0,Satisfactory
133903,CH001,2019-09-03 19:00:00,28.93,87.19,7.18,3.79,10.9,0.65,0.56,7.55,51.67,2.54,0.09,3.15,95.0,Satisfactory
133904,CH001,2019-09-03 20:00:00,25.4,80.7,7.11,3.83,10.89,0.49,0.76,7.2,36.57,2.32,0.06,3.05,95.0,Satisfactory
133905,CH001,2019-09-03 21:00:00,28.88,87.93,9.15,6.18,14.38,1.01,1.69,6.23,2.41,3.22,0.04,3.28,95.0,Satisfactory
133906,CH001,2019-09-03 22:00:00,33.14,116.73,15.63,8.93,23.14,1.49,2.37,5.73,0.07,5.16,0.03,4.05,105.0,Moderate
133907,CH001,2019-09-03 23:00:00,42.87,131.24,25.05,8.78,33.06,2.22,1.84,4.41,0.93,6.28,0.03,5.12,105.0,Moderate
133908,CH001,2019-09-04 00:00:00,38.73,118.68,25.18,7.52,31.79,2.72,0.9,3.57,9.78,5.98,0.03,5.33,105.0,Moderate
133909,CH001,2019-09-04 01:00:00,40.77,100.67,,,,,0.66,4.35,10.58,5.22,0.02,4.96,105.0,Moderate
133910,CH001,2019-09-04 02:00:00,35.6,89.66,,,,,0.47,4.36,12.93,4.69,0.02,4.76,105.0,Moderate
133911,CH001,2019-09-04 03:00:00,31.74,82.8,,,,,0.39,4.0,16.73,4.16,0.01,4.52,105.0,Moderate
133912,CH001,2019-09-04 04:00:00,27.12,81.48,,,,,0.37,4.32,17.72,3.73,0.01,4.34,105.0,Moderate
133913,CH001,2019-09-04 05:00:00,32.29,77.37,,,,,0.48,4.57,7.29,3.5,0.01,4.3,105.0,Moderate
133914,CH001,2019-09-04 06:00:00,32.07,72.84,,,,,0.48,4.38,8.64,3.38,0.01,4.38,93.0,Satisfactory
133915,CH001,2019-09-04 07:00:00,,,,,,,,,,,,,94.0,Satisfactory
133916,CH001,2019-09-04 08:00:00,,,,,,,,,,,,,95.0,Satisfactory
133917,CH001,2019-09-04 09:00:00,,48.88,,,0.0,,1.4,,17.19,0.0,0.0,0.0,93.0,Satisfactory
133918,CH001,2019-09-04 10:00:00,,97.67,,,41.68,,1.14,4.52,11.2,3.19,0.0,4.11,93.0,Satisfactory
133919,CH001,2019-09-04 11:00:00,,117.37,14.6,9.9,25.22,1.41,0.87,5.84,24.68,5.9,0.01,16.26,94.0,Satisfactory
133920,CH001,2019-09-04 12:00:00,,112.91,13.58,9.68,23.27,1.12,0.81,6.02,39.64,8.09,0.02,26.44,94.0,Satisfactory
133921,CH001,2019-09-04 13:00:00,,105.9,8.97,9.68,,0.9,0.71,6.67,68.89,8.19,2.53,33.07,95.0,Satisfactory
133922,CH001,2019-09-04 14:00:00,,101.09,8.29,7.49,14.03,1.36,0.52,6.13,46.84,3.78,1.24,16.14,95.0,Satisfactory
133923,CH001,2019-09-04 15:00:00,,73.39,8.58,8.69,15.12,0.89,0.72,1.48,28.35,2.95,1.08,16.54,94.0,Satisfactory
133924,CH001,2019-09-04 16:00:00,,68.27,14.74,16.44,31.52,1.99,1.29,2.82,6.48,5.75,1.84,31.52,92.0,Satisfactory
133925,CH001,2019-09-04 17:00:00,,78.51,16.89,11.02,27.78,1.8,1.41,1.85,4.7,6.04,1.69,34.48,92.0,Satisfactory
133926,CH001,2019-09-04 18:00:00,,82.38,18.93,10.07,28.95,1.86,1.21,2.13,12.28,6.33,1.78,39.01,92.0,Satisfactory
133927,CH001,2019-09-04 19:00:00,,88.82,17.83,10.6,28.65,1.55,1.19,4.24,10.56,6.44,1.97,42.62,92.0,Satisfactory
133928,CH001,2019-09-04 20:00:00,,92.59,19.36,8.99,27.95,1.82,1.73,5.93,0.38,6.55,1.96,45.38,92.0,Satisfactory
133929,CH001,2019-09-04 21:00:00,,96.44,22.36,8.91,31.08,2.07,1.44,4.8,3.86,7.36,1.86,46.7,93.0,Satisfactory
133930,CH001,2019-09-04 22:00:00,,103.38,21.77,9.44,31.43,1.91,1.29,4.01,5.67,7.59,1.75,48.44,92.0,Satisfactory
133931,CH001,2019-09-04 23:00:00,,103.84,20.29,9.25,29.46,2.07,0.98,3.67,14.61,7.13,1.67,50.19,91.0,Satisfactory
133932,CH001,2019-09-05 00:00:00,,105.2,17.72,9.32,27.91,1.93,0.76,4.62,25.25,6.62,1.7,52.79,90.0,Satisfactory
133933,CH001,2019-09-05 01:00:00,,100.07,15.36,8.09,23.99,1.38,0.65,12.54,26.5,6.2,1.8,55.42,90.0,Satisfactory
133934,CH001,2019-09-05 02:00:00,,89.86,13.2,5.43,19.09,1.12,0.53,16.47,38.98,5.91,1.92,57.71,90.0,Satisfactory
133935,CH001,2019-09-05 03:00:00,,81.96,10.62,4.71,15.71,1.04,0.4,16.41,51.73,5.26,1.84,57.95,90.0,Satisfactory
133936,CH001,2019-09-05 04:00:00,,74.46,9.31,4.32,13.87,1.0,0.42,17.2,43.65,4.72,1.74,57.5,90.0,Satisfactory
133937,CH001,2019-09-05 05:00:00,,58.27,8.97,3.71,12.57,1.02,0.41,17.84,36.62,4.39,1.7,58.46,89.0,Satisfactory
133938,CH001,2019-09-05 06:00:00,,47.78,9.48,3.96,13.46,0.85,0.45,19.28,21.31,4.45,1.77,60.81,88.0,Satisfactory
133939,CH001,2019-09-05 07:00:00,,44.67,9.47,4.19,13.62,0.85,0.46,20.34,26.55,4.52,1.92,63.73,86.0,Satisfactory
133940,CH001,2019-09-05 08:00:00,,39.14,9.45,3.46,13.07,0.84,0.51,22.02,29.83,4.44,2.0,65.46,84.0,Satisfactory
133941,CH001,2019-09-05 09:00:00,,37.62,9.53,3.58,12.89,1.01,0.89,18.7,13.47,4.09,1.9,65.96,83.0,Satisfactory
133942,CH001,2019-09-05 10:00:00,,38.17,10.17,4.32,14.33,1.07,0.74,15.65,18.71,4.36,1.77,65.32,81.0,Satisfactory
133943,CH001,2019-09-05 11:00:00,,40.73,10.91,4.79,15.47,1.01,0.66,12.57,11.71,4.33,1.74,62.87,78.0,Satisfactory
133944,CH001,2019-09-05 12:00:00,,37.29,12.01,4.72,16.72,1.06,0.56,,8.44,4.3,1.82,60.3,75.0,Satisfactory
133945,CH001,2019-09-05 13:00:00,,,,,,,,,,,,,73.0,Satisfactory
133946,CH001,2019-09-05 14:00:00,,54.95,,,,,0.77,4.92,13.68,4.78,1.89,48.65,71.0,Satisfactory
133947,CH001,2019-09-05 15:00:00,,54.14,,,,,0.56,5.75,24.55,4.41,1.75,46.58,70.0,Satisfactory
133948,CH001,2019-09-05 16:00:00,,55.52,8.23,3.99,12.2,1.33,0.47,7.25,37.93,3.47,1.65,40.82,70.0,Satisfactory
133949,CH001,2019-09-05 17:00:00,,,,,,,,,,,,,69.0,Satisfactory
133950,CH001,2019-09-05 18:00:00,,,,,,,,,,,,,69.0,Satisfactory
133951,CH001,2019-09-05 19:00:00,,,,,,,,,,,,,68.0,Satisfactory
133952,CH001,2019-09-05 20:00:00,,,,,,,,,,,,,66.0,Satisfactory
133953,CH001,2019-09-05 21:00:00,,,,,,,,,,,,,65.0,Satisfactory
133954,CH001,2019-09-05 22:00:00,,,,,,,,,,,,,63.0,Satisfactory
133955,CH001,2019-09-05 23:00:00,,,,,,,,,,,,,60.0,Satisfactory
133956,CH001,2019-09-06 00:00:00,,,,,,,,,,,,,95.0,Satisfactory
133957,CH001,2019-09-06 01:00:00,,,,,,,,,,,,,95.0,Satisfactory
133958,CH001,2019-09-06 02:00:00,,,,,,,,,,,,,95.0,Satisfactory
133959,CH001,2019-09-06 03:00:00,,,,,,,,,,,,,95.0,Satisfactory
133960,CH001,2019-09-06 04:00:00,,,,,,,,,,,,,95.0,Satisfactory
133961,CH001,2019-09-06 05:00:00,,,,,,,,,,,,,95.0,Satisfactory
133962,CH001,2019-09-06 06:00:00,,,,,,,,,,,,,95.0,Satisfactory
133963,CH001,2019-09-06 07:00:00,,,,,,,,,,,,,95.0,Satisfactory
133964,CH001,2019-09-06 08:00:00,,,,,,,,,,,,,95.0,Satisfactory
133965,CH001,2019-09-06 09:00:00,,,,,,,,,,,,,95.0,Satisfactory
133966,CH001,2019-09-06 10:00:00,,,,,,,,,,,,,95.0,Satisfactory
133967,CH001,2019-09-06 11:00:00,,,,,,,,,,,,,95.0,Satisfactory
133968,CH001,2019-09-06 12:00:00,,,,,,,,,,,,,95.0,Satisfactory
133969,CH001,2019-09-06 13:00:00,,62.33,6.82,2.91,9.86,1.79,0.5,10.42,,,,,95.0,Satisfactory
