,StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
1301442,HR013,2020-03-05 16:00:00,28.29,69.77,0.17,22.93,12.08,,0.45,3.51,75.97,3.4,1.72,9.04,108.0,Satisfactory
1301443,HR013,2020-03-05 17:00:00,20.72,61.56,0.45,21.02,11.34,,0.43,6.86,80.53,3.62,2.25,10.81,108.0,Satisfactory
1301444,HR013,2020-03-05 18:00:00,41.66,64.27,2.12,18.95,11.61,,0.45,11.88,50.88,3.93,2.78,12.57,108.0,Satisfactory
1301445,HR013,2020-03-05 19:00:00,51.48,59.02,0.32,21.7,11.58,,0.45,11.23,58.39,4.02,2.88,12.89,108.0,Satisfactory
1301446,HR013,2020-03-05 20:00:00,51.11,60.94,2.73,21.18,13.26,,0.52,15.17,25.59,4.35,3.15,13.45,108.0,Satisfactory
1301447,HR013,2020-03-05 21:00:00,51.72,67.09,8.52,20.92,17.76,,0.58,14.29,37.26,4.83,3.91,15.32,108.0,Satisfactory
1301448,HR013,2020-03-05 22:00:00,46.73,57.89,8.0,23.41,18.64,,0.55,16.44,46.13,4.71,4.24,16.15,108.0,Satisfactory
1301449,HR013,2020-03-05 23:00:00,35.36,44.6,5.93,24.37,17.49,,0.52,16.19,48.61,4.17,4.11,15.46,108.0,Satisfactory
1301450,HR013,2020-03-06 00:00:00,32.5,34.53,4.96,23.02,16.0,,0.49,16.72,35.56,3.86,4.03,15.03,108.0,Satisfactory
1301451,HR013,2020-03-06 01:00:00,27.94,47.87,15.71,22.57,24.39,,0.5,18.25,31.57,3.91,4.32,15.55,108.0,Satisfactory
1301452,HR013,2020-03-06 02:00:00,26.01,45.59,11.79,22.71,21.32,,0.47,17.94,37.86,3.66,4.39,15.49,108.0,Satisfactory
1301453,HR013,2020-03-06 03:00:00,28.56,36.43,8.36,23.82,19.15,,0.45,16.62,43.52,3.7,4.19,14.68,108.0,Satisfactory
1301454,HR013,2020-03-06 04:00:00,25.09,32.03,8.59,23.47,19.15,,0.44,17.48,30.98,3.7,4.21,14.61,108.0,Satisfactory
1301455,HR013,2020-03-06 05:00:00,23.47,30.16,5.08,23.25,16.22,,0.41,12.49,72.49,3.62,4.29,14.96,108.0,Satisfactory
1301456,HR013,2020-03-06 06:00:00,,,3.61,22.68,14.74,,0.41,14.54,25.11,3.19,3.96,14.21,108.0,Satisfactory
1301457,HR013,2020-03-06 07:00:00,23.33,27.36,11.51,22.03,20.74,,0.43,16.57,9.45,3.57,4.28,15.19,108.0,Satisfactory
1301458,HR013,2020-03-06 08:00:00,23.79,26.36,15.03,21.32,23.19,,0.45,17.29,10.46,3.74,4.49,15.62,72.0,Satisfactory
1301459,HR013,2020-03-06 09:00:00,26.65,31.36,14.5,20.89,22.55,,0.46,14.6,28.91,3.61,4.58,15.6,72.0,Satisfactory
1301460,HR013,2020-03-06 10:00:00,26.47,32.24,10.64,20.21,19.09,,0.49,17.94,35.79,4.02,4.67,15.73,72.0,Satisfactory
1301461,HR013,2020-03-06 11:00:00,,,9.09,21.67,18.61,,0.48,16.23,47.29,3.95,4.43,15.1,72.0,Satisfactory
1301462,HR013,2020-03-06 12:00:00,,,5.59,23.61,16.82,,0.46,14.09,54.58,3.97,4.0,14.35,72.0,Satisfactory
1301463,HR013,2020-03-06 13:00:00,,,3.48,24.64,15.67,,0.43,10.66,62.41,3.85,3.6,13.73,62.0,Satisfactory
1301464,HR013,2020-03-06 14:00:00,,,2.7,24.98,15.21,,0.42,11.26,56.62,3.5,3.25,13.13,62.0,Satisfactory
1301465,HR013,2020-03-06 15:00:00,,,2.74,24.84,15.18,,0.42,11.4,59.68,3.59,3.17,13.08,62.0,Satisfactory
1301466,HR013,2020-03-06 16:00:00,,,1.58,24.3,13.96,,0.43,11.79,63.0,3.38,3.16,13.12,63.0,Satisfactory
1301467,HR013,2020-03-06 17:00:00,26.7,35.46,4.71,23.75,16.19,,0.46,11.12,30.83,3.78,3.46,13.87,63.0,Satisfactory
1301468,HR013,2020-03-06 18:00:00,18.74,27.47,8.86,23.79,19.53,,0.49,15.73,33.82,3.91,4.0,15.21,63.0,Satisfactory
1301469,HR013,2020-03-06 19:00:00,14.02,23.59,8.31,22.49,18.42,,0.54,16.54,35.14,3.65,4.2,15.32,63.0,Satisfactory
1301470,HR013,2020-03-06 20:00:00,11.69,21.7,7.1,21.97,17.17,,0.54,17.29,20.81,3.88,4.4,15.51,63.0,Satisfactory
1301471,HR013,2020-03-06 21:00:00,13.08,18.01,6.26,21.34,16.17,,0.54,14.12,21.94,4.18,4.59,15.82,63.0,Satisfactory
1301472,HR013,2020-03-06 22:00:00,14.09,16.73,6.34,20.18,15.62,,0.56,17.98,15.96,4.23,4.71,16.15,63.0,Satisfactory
1301473,HR013,2020-03-06 23:00:00,18.66,20.77,6.78,20.43,16.11,,0.57,18.87,21.84,4.2,4.86,16.62,63.0,Satisfactory
1301474,HR013,2020-03-07 00:00:00,19.39,25.5,6.97,20.88,16.5,,0.56,19.23,22.55,4.41,4.97,16.71,36.0,Good
1301475,HR013,2020-03-07 01:00:00,22.22,28.39,7.89,20.54,17.06,,0.54,20.23,30.78,4.31,5.01,16.69,35.0,Good
1301476,HR013,2020-03-07 02:00:00,23.49,26.91,5.57,19.9,14.87,,0.52,19.33,47.23,4.03,4.98,16.73,47.0,Good
1301477,HR013,2020-03-07 03:00:00,22.31,22.42,2.5,19.36,12.12,,0.5,18.29,44.12,4.33,4.82,16.16,47.0,Good
1301478,HR013,2020-03-07 04:00:00,23.78,27.67,1.94,18.89,11.43,,0.49,18.13,31.73,3.94,4.72,15.75,47.0,Good
1301479,HR013,2020-03-07 05:00:00,24.54,27.75,2.43,18.74,11.75,,0.48,15.19,27.34,3.94,4.74,15.82,47.0,Good
1301480,HR013,2020-03-07 06:00:00,,,6.71,18.32,14.95,,0.5,18.99,10.17,4.22,4.81,16.05,47.0,Good
1301481,HR013,2020-03-07 07:00:00,36.27,42.04,18.06,19.08,24.45,,0.52,19.87,4.75,3.99,4.89,16.25,47.0,Good
1301482,HR013,2020-03-07 08:00:00,38.7,56.72,28.48,18.64,32.58,,0.55,20.72,4.54,4.12,5.02,16.57,47.0,Good
1301483,HR013,2020-03-07 09:00:00,41.75,71.94,33.42,18.08,36.25,,0.59,18.05,16.5,4.53,5.15,16.94,47.0,Good
1301484,HR013,2020-03-07 10:00:00,50.16,74.06,31.29,18.64,34.84,,0.64,21.69,18.18,4.86,5.25,17.42,44.0,Good
1301485,HR013,2020-03-07 11:00:00,60.62,74.56,31.36,18.66,34.9,,0.68,22.75,16.87,5.03,5.39,17.97,44.0,Good
1301486,HR013,2020-03-07 12:00:00,65.11,73.65,31.56,19.04,35.26,,0.71,23.91,17.23,5.21,5.54,18.27,48.0,Good
1301487,HR013,2020-03-07 13:00:00,67.11,82.47,29.48,19.55,33.85,,0.68,21.44,40.97,5.37,5.7,18.93,51.0,Satisfactory
1301488,HR013,2020-03-07 14:00:00,62.45,85.4,25.73,20.24,31.21,,0.68,24.77,38.11,5.6,5.82,19.65,54.0,Satisfactory
1301489,HR013,2020-03-07 15:00:00,61.2,89.49,22.41,20.73,28.8,,0.68,25.29,46.95,5.44,5.93,20.39,56.0,Satisfactory
1301490,HR013,2020-03-07 16:00:00,63.77,88.09,18.97,23.09,27.27,,0.67,25.97,42.94,5.6,6.01,21.08,58.0,Satisfactory
1301491,HR013,2020-03-07 17:00:00,61.24,92.23,18.53,23.81,27.3,,0.69,21.34,37.44,5.65,6.09,21.11,60.0,Satisfactory
1301492,HR013,2020-03-07 18:00:00,55.97,100.08,21.26,24.1,29.65,,0.75,26.6,23.98,5.91,6.24,21.63,63.0,Satisfactory
1301493,HR013,2020-03-07 19:00:00,51.59,104.23,23.95,23.69,31.57,,0.84,27.15,27.17,5.98,6.36,22.31,66.0,Satisfactory
1301494,HR013,2020-03-07 20:00:00,46.84,102.65,19.68,22.66,27.62,,0.85,26.54,17.53,6.22,6.31,21.76,68.0,Satisfactory
1301495,HR013,2020-03-07 21:00:00,59.24,102.14,20.37,22.57,28.13,,0.88,21.37,3.91,6.45,6.2,21.33,72.0,Satisfactory
1301496,HR013,2020-03-07 22:00:00,72.99,92.49,21.99,21.33,28.78,,0.9,24.32,1.41,6.67,6.12,22.37,76.0,Satisfactory
1301497,HR013,2020-03-07 23:00:00,81.52,90.92,21.48,19.79,27.57,,0.89,23.93,1.98,6.88,6.07,24.81,81.0,Satisfactory
1301498,HR013,2020-03-08 00:00:00,89.06,97.43,32.87,18.1,35.82,,0.92,23.69,,6.65,6.03,26.26,86.0,Satisfactory
1301499,HR013,2020-03-08 01:00:00,92.36,107.38,37.5,16.03,38.45,,1.03,22.36,,6.85,5.97,25.72,91.0,Satisfactory
1301500,HR013,2020-03-08 02:00:00,96.95,110.54,36.92,16.65,38.31,,1.05,22.95,0.35,7.13,5.91,24.99,96.0,Satisfactory
1301501,HR013,2020-03-08 03:00:00,100.84,113.69,49.37,14.91,47.38,,1.05,22.67,,7.09,5.81,23.95,103.0,Moderate
1301502,HR013,2020-03-08 04:00:00,98.62,113.79,73.25,11.62,64.81,,1.08,21.87,,7.14,5.73,23.88,114.0,Moderate
1301503,HR013,2020-03-08 05:00:00,97.04,117.74,90.12,10.44,77.72,,1.0,17.28,0.48,7.05,5.64,23.32,125.0,Moderate
1301504,HR013,2020-03-08 06:00:00,89.39,111.66,88.57,10.59,76.56,,0.96,21.9,0.63,7.11,5.6,22.6,128.0,Moderate
1301505,HR013,2020-03-08 07:00:00,81.48,90.94,83.94,10.85,72.98,,0.92,21.52,0.24,6.9,5.48,21.79,134.0,Moderate
1301506,HR013,2020-03-08 08:00:00,73.89,77.46,84.82,10.61,73.56,,0.92,21.26,0.08,6.86,5.38,21.01,139.0,Moderate
1301507,HR013,2020-03-08 09:00:00,69.95,72.32,85.05,10.36,73.61,,0.94,17.83,1.4,7.01,5.33,20.57,143.0,Moderate
1301508,HR013,2020-03-08 10:00:00,79.79,83.63,77.46,12.21,68.49,,0.99,22.36,7.85,7.24,5.33,20.4,147.0,Moderate
1301509,HR013,2020-03-08 11:00:00,,,65.97,15.79,61.15,,1.0,24.18,26.91,7.6,5.58,21.37,149.0,Moderate
1301510,HR013,2020-03-08 12:00:00,104.31,117.01,54.89,18.24,53.54,,1.01,25.83,33.06,7.73,5.84,22.74,155.0,Moderate
