,StationId,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
1667812,KL007,2020-02-13 17:00:00,36.94,,4.37,19.85,26.21,4.37,0.12,2.55,100.24,,,,71.0,Satisfactory
1667813,KL007,2020-02-13 18:00:00,34.94,53.34,5.8,20.67,28.47,5.8,0.19,2.69,92.34,,,,71.0,Satisfactory
1667814,KL007,2020-02-13 19:00:00,34.96,52.25,3.79,15.76,21.55,3.79,0.18,2.76,88.76,,,,71.0,Satisfactory
1667815,KL007,2020-02-13 20:00:00,36.2,48.52,3.73,25.43,31.17,3.73,0.44,2.78,68.08,,,,71.0,Satisfactory
1667816,KL007,2020-02-13 21:00:00,40.91,61.06,17.36,46.64,66.0,17.36,1.26,2.65,37.08,,,,71.0,Satisfactory
1667817,KL007,2020-02-13 22:00:00,40.09,66.89,19.96,46.14,68.1,19.96,1.31,2.69,29.92,,,,71.0,Satisfactory
1667818,KL007,2020-02-13 23:00:00,46.23,67.62,15.81,38.01,55.82,15.81,0.83,3.16,28.44,,,,71.0,Satisfactory
1667819,KL007,2020-02-14 00:00:00,36.24,74.15,8.47,29.81,40.27,8.47,0.62,3.08,30.87,,,,71.0,Satisfactory
1667820,KL007,2020-02-14 01:00:00,43.33,71.12,4.27,25.55,31.82,4.27,0.33,1.04,24.77,,,,71.0,Satisfactory
1667821,KL007,2020-02-14 02:00:00,43.76,64.65,8.62,22.79,33.41,8.62,0.4,0.98,22.62,,,,71.0,Satisfactory
1667822,KL007,2020-02-14 03:00:00,40.7,64.74,8.01,26.24,36.25,8.01,0.34,0.73,15.43,,,,71.0,Satisfactory
1667823,KL007,2020-02-14 04:00:00,42.56,58.62,2.33,12.52,16.84,2.33,0.23,1.02,22.82,,,,71.0,Satisfactory
1667824,KL007,2020-02-14 05:00:00,38.37,57.83,2.33,10.88,15.21,2.33,0.21,0.95,28.78,,,,71.0,Satisfactory
1667825,KL007,2020-02-14 06:00:00,42.47,54.16,2.28,10.2,14.48,2.28,0.18,0.97,31.95,,,,71.0,Satisfactory
1667826,KL007,2020-02-14 07:00:00,40.9,57.09,2.52,13.29,17.81,2.52,0.24,0.89,25.02,,,,71.0,Satisfactory
1667827,KL007,2020-02-14 08:00:00,35.81,51.71,22.9,27.43,52.33,22.9,0.71,1.14,15.75,,,,66.0,Satisfactory
1667828,KL007,2020-02-14 09:00:00,38.47,58.54,48.09,51.82,101.9,48.09,1.46,1.65,16.4,,,,73.0,Satisfactory
1667829,KL007,2020-02-14 10:00:00,47.94,76.12,12.11,34.9,49.01,12.11,0.81,1.77,55.36,,,,73.0,Satisfactory
1667830,KL007,2020-02-14 11:00:00,53.81,79.47,5.82,27.12,34.94,5.82,0.48,1.97,81.29,,,,81.0,Satisfactory
1667831,KL007,2020-02-14 12:00:00,46.91,61.87,5.85,30.14,38.0,5.85,0.42,2.11,87.83,,,,88.0,Satisfactory
1667832,KL007,2020-02-14 13:00:00,45.43,72.93,4.13,18.97,25.11,4.13,0.27,2.38,100.33,,,,100.0,Satisfactory
1667833,KL007,2020-02-14 14:00:00,42.52,66.83,6.44,28.01,36.46,6.44,0.39,2.65,93.28,,,,100.0,Satisfactory
1667834,KL007,2020-02-14 15:00:00,38.99,66.5,5.58,25.85,33.42,5.58,0.33,2.48,103.32,,,,105.0,Moderate
1667835,KL007,2020-02-14 16:00:00,35.14,85.24,5.76,28.52,36.28,5.76,0.32,2.48,98.7,,,,105.0,Moderate
1667836,KL007,2020-02-14 17:00:00,43.85,74.63,4.31,19.27,25.59,4.31,0.19,2.79,97.52,,,,105.0,Moderate
1667837,KL007,2020-02-14 18:00:00,40.64,71.59,3.45,15.17,21.2,3.76,0.18,2.58,94.18,,,,105.0,Moderate
1667838,KL007,2020-02-14 19:00:00,37.08,62.58,5.89,16.24,24.13,5.89,0.24,2.7,86.73,,,,105.0,Moderate
1667839,KL007,2020-02-14 20:00:00,36.55,56.35,4.55,22.51,29.06,4.55,0.34,2.67,81.48,,,,105.0,Moderate
1667840,KL007,2020-02-14 21:00:00,36.17,53.63,5.35,38.58,45.92,5.35,0.79,2.48,46.34,,,,105.0,Moderate
1667841,KL007,2020-02-14 22:00:00,38.43,75.61,17.37,54.89,74.26,17.37,1.35,2.18,15.74,,,,105.0,Moderate
1667842,KL007,2020-02-14 23:00:00,44.19,75.45,13.32,48.31,63.62,13.32,0.89,2.08,16.72,,,,99.0,Satisfactory
1667843,KL007,2020-02-15 00:00:00,55.39,80.53,3.42,31.39,36.81,3.42,0.66,2.06,31.0,,,,98.0,Satisfactory
1667844,KL007,2020-02-15 01:00:00,52.5,81.02,2.41,22.11,26.52,2.41,0.42,0.45,39.08,,,,94.0,Satisfactory
1667845,KL007,2020-02-15 02:00:00,47.88,77.86,2.22,17.77,21.99,2.22,0.36,0.51,33.23,,,,87.0,Satisfactory
1667846,KL007,2020-02-15 03:00:00,51.26,80.48,2.16,13.77,17.91,2.16,0.3,0.37,27.53,,,,81.0,Satisfactory
1667847,KL007,2020-02-15 04:00:00,46.33,77.2,2.28,14.1,18.38,2.28,0.3,0.46,18.87,,,,72.0,Satisfactory
